"title","minrate","mincost"
Chamber Italian,0.99,9.99
Grosse Wonderful,0.99,9.99
Airport Pollock,0.99,9.99
Bright Encounters,0.99,9.99
Academy Dinosaur,0.99,9.99
Ace Goldfinger,0.99,9.99
Adaptation Holes,0.99,9.99
Affair Prejudice,0.99,9.99
African Egg,0.99,9.99
Agent Truman,0.99,9.99
Airplane Sierra,0.99,9.99
Alabama Devil,0.99,9.99
Aladdin Calendar,0.99,9.99
Alamo Videotape,0.99,9.99
Alaska Phantom,0.99,9.99
Date Speed,0.99,9.99
Ali Forever,0.99,9.99
Alice Fantasia,0.99,9.99
Alien Center,0.99,9.99
Alley Evolution,0.99,9.99
Alone Trip,0.99,9.99
Alter Victory,0.99,9.99
Amadeus Holy,0.99,9.99
Amelie Hellfighters,0.99,9.99
American Circus,0.99,9.99
Amistad Midsummer,0.99,9.99
Anaconda Confessions,0.99,9.99
Analyze Hoosiers,0.99,9.99
Angels Life,0.99,9.99
Annie Identity,0.99,9.99
Anonymous Human,0.99,9.99
Anthem Luke,0.99,9.99
Antitrust Tomatoes,0.99,9.99
Anything Savannah,0.99,9.99
Apache Divine,0.99,9.99
Apocalypse Flamingos,0.99,9.99
Apollo Teen,0.99,9.99
Arabia Dogma,0.99,9.99
Arachnophobia Rollercoaster,0.99,9.99
Argonauts Town,0.99,9.99
Arizona Bang,0.99,9.99
Ark Ridgemont,0.99,9.99
Armageddon Lost,0.99,9.99
Army Flintstones,0.99,9.99
Arsenic Independence,0.99,9.99
Artist Coldblooded,0.99,9.99
Dying Maker,0.99,9.99
Atlantis Cause,0.99,9.99
Attacks Hate,0.99,9.99
Attraction Newton,0.99,9.99
Autumn Crow,0.99,9.99
Baby Hall,0.99,9.99
Backlash Undefeated,0.99,9.99
Badman Dawn,0.99,9.99
Baked Cleopatra,0.99,9.99
Casualties Encino,0.99,9.99
Balloon Homeward,0.99,9.99
Ballroom Mockingbird,0.99,9.99
Bang Kwai,0.99,9.99
Banger Pinocchio,0.99,9.99
Barbarella Streetcar,0.99,9.99
Barefoot Manchurian,0.99,9.99
Basic Easy,0.99,9.99
Beach Heartbreakers,0.99,9.99
Bear Graceland,0.99,9.99
Beast Hunchback,0.99,9.99
Beauty Grease,0.99,9.99
Bed Highball,0.99,9.99
Bedazzled Married,0.99,9.99
Beethoven Exorcist,0.99,9.99
Behavior Runaway,0.99,9.99
Beneath Rush,0.99,9.99
Berets Agent,0.99,9.99
Betrayed Rear,0.99,9.99
Beverly Outlaw,0.99,9.99
Bikini Borrowers,0.99,9.99
Bilko Anonymous,0.99,9.99
Bill Others,0.99,9.99
Bingo Talented,0.99,9.99
Birch Antitrust,0.99,9.99
Bird Independence,0.99,9.99
Birdcage Casper,0.99,9.99
Birds Perdition,0.99,9.99
Blackout Private,0.99,9.99
Blade Polish,0.99,9.99
Blanket Beverly,0.99,9.99
Blindness Gun,0.99,9.99
Blood Argonauts,0.99,9.99
Blues Instinct,0.99,9.99
Boiled Dares,0.99,9.99
Bonnie Holocaust,0.99,9.99
Boogie Amelie,0.99,9.99
Boondock Ballroom,0.99,9.99
Born Spinal,0.99,9.99
Borrowers Bedazzled,0.99,9.99
Boulevard Mob,0.99,9.99
Bound Cheaper,0.99,9.99
Bowfinger Gables,0.99,9.99
Brannigan Sunrise,0.99,9.99
Braveheart Human,0.99,9.99
Breakfast Goldfinger,0.99,9.99
Breaking Home,0.99,9.99
Bride Intrigue,0.99,9.99
Bringing Hysterical,0.99,9.99
Brooklyn Desert,0.99,9.99
Brotherhood Blanket,0.99,9.99
Bubble Grosse,0.99,9.99
Bucket Brotherhood,0.99,9.99
Bugsy Song,0.99,9.99
Bull Shawshank,0.99,9.99
Bulworth Commandments,0.99,9.99
Bunch Minds,0.99,9.99
Butch Panther,0.99,9.99
Butterfly Chocolat,0.99,9.99
Cabin Flash,0.99,9.99
Caddyshack Jedi,0.99,9.99
Calendar Gunfight,0.99,9.99
California Birds,0.99,9.99
Camelot Vacation,0.99,9.99
Campus Remember,0.99,9.99
